id,created_at,text,likes,in reply to,retweeted
1320037932024000512,2020-10-24 16:22:22,"RT @AcmIgdtuw: Had a very enriching session ""Beyond Hacktoberfest"", learning all about how to truly and surely contribute to major open sou…",0,,True
1319940267500158977,2020-10-24 09:54:17,"Session recording on YouTube:

https://t.co/KjDMfFLiJU",1,Soumyaa1804,False
1319940263574265860,2020-10-24 09:54:16,Missed the post for this talk but thank you @ponguru Sir for uploading the recording on #YouTube.  Super helpful fo… https://t.co/aKeZJak0Rd,2,,False
1319565335117230085,2020-10-23 09:04:26,"""That is when I realized the importance of using Git to keep track of the changes I am making in my project.""

#git… https://t.co/ralFJpDBmZ",0,Soumyaa1804,False
1319565333301112834,2020-10-23 09:04:26,"Relatable?
""When I first started working on my project, I ignored using Git to maintain version control. One day wh… https://t.co/T2LvxEKo92",0,,False
1319563514982264834,2020-10-23 08:57:12,"@ponguru @vidit_99 @Ishita_3110 @GulianiKaur @harvish_j @youownmeasoda Thank you, sir, for the insightful session!",0,ponguru,False
1319269083712385030,2020-10-22 13:27:15,#hacktoberfest2020 #OpenSource #webdevelopment  #acmigdtuw #igdtuw https://t.co/Oo96DpzrBt,0,,False
1317495094539284482,2020-10-17 15:58:03,@SwastikaTiwari1 @AlmeidaChristan @TheQuint @ugc_india @deepthisTOI @MensXP @thenewsminute @ParBen24 @_poorvaja… https://t.co/NfpH4rMg02,0,SwastikaTiwari1,False
1317451910677291008,2020-10-17 13:06:27,@AlmeidaChristan These are the general instructions provided by the university. https://t.co/gEgU7unOT9,7,AlmeidaChristan,False
1317450768849399810,2020-10-17 13:01:55,@AlmeidaChristan @AlmeidaChristan You can refer this link for complete guidelines for installation https://t.co/tw5fvhNydb,10,AlmeidaChristan,False
1316438360110424064,2020-10-14 17:58:57,"RT @Innerveigdtuw: Head over to the website of Innerve'20 to know more about the interesting events, exciting prizes, and more. Find out wh…",0,,True
1316435892614111233,2020-10-14 17:49:09,"RT @Indiaacm: Dear ACM Chapters in India

Please create a flyer/banner to introduce your chapter, Tweet &amp; tag @ACMIndia with #KnowACMChapte…",0,,True
